GAME_ID,PLAYER_ID_x,PLAYER_NAME,SHOT_ZONE_BASIC,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,GAME_DATE,PLAYER_ID_y,DEF_RATING,SHOT_ZONE_AREA_Center(C),SHOT_ZONE_AREA_Left Side Center(LC),SHOT_ZONE_AREA_Left Side(L),SHOT_ZONE_AREA_Right Side Center(RC),SHOT_ZONE_AREA_Right Side(R),SHOT_DIFFICULTY,DEFENDER_IMPACT
22400172,203937,Kyle Anderson,Above the Break 3,24+ ft.,0.33783783783783783,-145,215,1,20241106,203937,0.3265306122448983,0.0,1.0,0.0,0.0,0.0,0.7474747474747475,0.11031439602868186
22400355,1641764,Brandin Podziemski,Above the Break 3,24+ ft.,0.33783783783783783,-61,251,1,20241208,1641764,0.0,1.0,0.0,0.0,0.0,0.0,0.7474747474747475,0.0
22400366,203471,Dennis Schröder,Mid-Range,16-24 ft.,0.24324324324324326,125,135,1,20241219,203471,0.9183673469387763,0.0,0.0,0.0,1.0,0.0,0.8043478260869565,0.22338665195808075
22400084,1626172,Kevon Looney,Mid-Range,16-24 ft.,0.21621621621621623,7,160,1,20241025,1626172,0.17346938775510345,1.0,0.0,0.0,0.0,0.0,0.8222222222222222,0.0375068946497521
22400158,203471,Dennis Schröder,Above the Break 3,24+ ft.,0.33783783783783783,27,258,1,20241104,203471,0.9183673469387763,1.0,0.0,0.0,0.0,0.0,0.7474747474747475,0.31025923883066764
22400525,1631218,Trayce Jackson-Davis,In The Paint (Non-RA),Less Than 8 ft.,0.05405405405405406,-39,23,1,20250110,1631218,0.7040816326530628,1.0,0.0,0.0,0.0,0.0,0.9487179487179488,0.03805846662989529
22400467,203471,Dennis Schröder,In The Paint (Non-RA),Less Than 8 ft.,0.06756756756756757,-22,46,1,20250102,203471,0.9183673469387763,1.0,0.0,0.0,0.0,0.0,0.9367088607594937,0.06205184776613354
22400305,203471,Dennis Schröder,Restricted Area,Less Than 8 ft.,0.013513513513513514,6,14,1,20241201,203471,0.9183673469387763,1.0,0.0,0.0,0.0,0.0,0.9866666666666666,0.012410369553226707
22400446,203110,Draymond Green,Restricted Area,Less Than 8 ft.,0.013513513513513514,-13,10,1,20241230,203110,0.5204081632653068,1.0,0.0,0.0,0.0,0.0,0.9866666666666666,0.007032542746828471
22400604,203952,Andrew Wiggins,Mid-Range,8-16 ft.,0.16216216216216217,110,67,1,20250120,203952,0.6224489795918373,0.0,0.0,0.0,0.0,1.0,0.8604651162790696,0.10093767236624389
22400525,1630322,Lindy Waters III,In The Paint (Non-RA),Less Than 8 ft.,0.06756756756756757,6,56,1,20250110,1630322,0.5204081632653068,1.0,0.0,0.0,0.0,0.0,0.9367088607594937,0.035162713734142356
22400508,1627741,Buddy Hield,Above the Break 3,24+ ft.,0.3783783783783784,174,220,1,20250107,1627741,0.46938775510204067,0.0,0.0,0.0,1.0,0.0,0.7254901960784313,0.17760617760617756
22401228,201939,Stephen Curry,In The Paint (Non-RA),Less Than 8 ft.,0.05405405405405406,39,14,1,20241215,201939,0.8265306122448983,1.0,0.0,0.0,0.0,0.0,0.9487179487179488,0.04467733039161613
22400446,203471,Dennis Schröder,Above the Break 3,24+ ft.,0.35135135135135137,198,174,1,20241230,203471,0.9183673469387763,0.0,0.0,0.0,1.0,0.0,0.74,0.3226696083838944
22400408,1641764,Brandin Podziemski,In The Paint (Non-RA),Less Than 8 ft.,0.0945945945945946,-18,74,1,20241225,1641764,0.0,1.0,0.0,0.0,0.0,0.0,0.9135802469135803,0.0
22400032,1641764,Brandin Podziemski,Restricted Area,Less Than 8 ft.,0.0,0,0,1,20241122,1641764,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
22400403,203110,Draymond Green,Right Corner 3,24+ ft.,0.31081081081081086,228,61,1,20241223,203110,0.5204081632653068,0.0,0.0,0.0,0.0,1.0,0.7628865979381443,0.16174848317705484
22400116,203110,Draymond Green,Left Corner 3,24+ ft.,0.2972972972972973,-222,0,1,20241029,203110,0.5204081632653068,0.0,0.0,1.0,0.0,0.0,0.7708333333333333,0.15471594043022635
22400084,203110,Draymond Green,Mid-Range,16-24 ft.,0.31081081081081086,-135,195,1,20241025,203110,0.5204081632653068,0.0,1.0,0.0,0.0,0.0,0.7628865979381443,0.16174848317705484
22400661,1631218,Trayce Jackson-Davis,Restricted Area,Less Than 8 ft.,0.0,0,0,1,20250128,1631218,0.7040816326530628,1.0,0.0,0.0,0.0,0.0,1.0,0.0
22400007,1627741,Buddy Hield,Above the Break 3,24+ ft.,0.33783783783783783,-222,132,1,20241112,1627741,0.46938775510204067,0.0,1.0,0.0,0.0,0.0,0.7474747474747475,0.15857694429122995
