GAME_ID,PLAYER_ID_x,PLAYER_NAME,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,PLAYER_ID_y,DEF_RATING
0022400007,1641764,Brandin Podziemski,Above the Break 3,Right Side Center(RC),24+ ft.,26,1,1,20241112,1641764,106.1
0022400007,1641764,Brandin Podziemski,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,1,0,20241112,1641764,106.1
0022400019,1641764,Brandin Podziemski,Mid-Range,Right Side Center(RC),16-24 ft.,18,1,1,20241115,1641764,106.1
0022400019,1641764,Brandin Podziemski,Left Corner 3,Left Side(L),24+ ft.,22,1,1,20241115,1641764,106.1
0022400019,1641764,Brandin Podziemski,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,1,1,20241115,1641764,106.1
0022400019,1641764,Brandin Podziemski,Above the Break 3,Left Side Center(LC),24+ ft.,24,1,0,20241115,1641764,106.1
0022400019,1641764,Brandin Podziemski,Above the Break 3,Center(C),24+ ft.,25,1,0,20241115,1641764,106.1
0022400019,1641764,Brandin Podziemski,Above the Break 3,Center(C),24+ ft.,28,1,0,20241115,1641764,106.1
0022400032,1641764,Brandin Podziemski,Restricted Area,Center(C),Less Than 8 ft.,2,1,1,20241122,1641764,106.1
0022400032,1641764,Brandin Podziemski,Mid-Range,Left Side(L),8-16 ft.,11,1,1,20241122,1641764,106.1
0022400032,1641764,Brandin Podziemski,Left Corner 3,Left Side(L),24+ ft.,24,1,0,20241122,1641764,106.1
0022400032,1641764,Brandin Podziemski,Above the Break 3,Left Side Center(LC),24+ ft.,27,1,0,20241122,1641764,106.1
0022400032,1641764,Brandin Podziemski,Restricted Area,Center(C),Less Than 8 ft.,3,1,0,20241122,1641764,106.1
0022400032,1641764,Brandin Podziemski,Restricted Area,Center(C),Less Than 8 ft.,3,1,1,20241122,1641764,106.1
0022400032,1641764,Brandin Podziemski,Restricted Area,Center(C),Less Than 8 ft.,0,1,1,20241122,1641764,106.1
0022400032,1641764,Brandin Podziemski,Above the Break 3,Right Side Center(RC),24+ ft.,25,1,0,20241122,1641764,106.1
0022400032,1641764,Brandin Podziemski,Above the Break 3,Right Side Center(RC),24+ ft.,26,1,0,20241122,1641764,106.1
0022400032,1641764,Brandin Podziemski,In The Paint (Non-RA),Center(C),8-16 ft.,10,1,1,20241122,1641764,106.1
0022400032,1641764,Brandin Podziemski,Right Corner 3,Right Side(R),24+ ft.,23,1,0,20241122,1641764,106.1
0022400058,1641764,Brandin Podziemski,Restricted Area,Center(C),Less Than 8 ft.,3,1,1,20241203,1641764,106.1
0022400058,1641764,Brandin Podziemski,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,1,1,20241203,1641764,106.1
0022400058,1641764,Brandin Podziemski,In The Paint (Non-RA),Center(C),8-16 ft.,12,1,1,20241203,1641764,106.1
0022400058,1641764,Brandin Podziemski,Above the Break 3,Right Side Center(RC),24+ ft.,27,1,0,20241203,1641764,106.1
0022400058,1641764,Brandin Podziemski,Mid-Range,Center(C),8-16 ft.,15,1,1,20241203,1641764,106.1
0022400058,1641764,Brandin Podziemski,Above the Break 3,Right Side Center(RC),24+ ft.,25,1,0,20241203,1641764,106.1
0022400058,1641764,Brandin Podziemski,Restricted Area,Center(C),Less Than 8 ft.,2,1,0,20241203,1641764,106.1
0022400058,1641764,Brandin Podziemski,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,1,1,20241203,1641764,106.1
0022400058,1641764,Brandin Podziemski,Mid-Range,Left Side Center(LC),16-24 ft.,19,1,1,20241203,1641764,106.1
0022400058,1641764,Brandin Podziemski,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,1,0,20241203,1641764,106.1
0022400058,1641764,Brandin Podziemski,Above the Break 3,Center(C),24+ ft.,25,1,0,20241203,1641764,106.1
0022400072,1641764,Brandin Podziemski,Left Corner 3,Left Side(L),24+ ft.,23,1,0,20241023,1641764,106.1
0022400072,1641764,Brandin Podziemski,Restricted Area,Center(C),Less Than 8 ft.,0,1,0,20241023,1641764,106.1
0022400072,1641764,Brandin Podziemski,Left Corner 3,Left Side(L),24+ ft.,23,1,0,20241023,1641764,106.1
0022400072,1641764,Brandin Podziemski,Above the Break 3,Right Side Center(RC),24+ ft.,25,1,0,20241023,1641764,106.1
0022400072,1641764,Brandin Podziemski,Above the Break 3,Left Side Center(LC),24+ ft.,26,1,0,20241023,1641764,106.1
0022400084,1641764,Brandin Podziemski,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,1,1,20241025,1641764,106.1
0022400084,1641764,Brandin Podziemski,Above the Break 3,Right Side Center(RC),24+ ft.,25,1,0,20241025,1641764,106.1
0022400084,1641764,Brandin Podziemski,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,1,0,20241025,1641764,106.1
0022400084,1641764,Brandin Podziemski,Above the Break 3,Center(C),24+ ft.,25,1,1,20241025,1641764,106.1
0022400084,1641764,Brandin Podziemski,Mid-Range,Left Side(L),8-16 ft.,12,1,1,20241025,1641764,106.1
